Avg ongoing deal value,Durchschn. laufender Deal-Wert,
Avg time to close a deal,Durchschn. Zeit bis Deal-Abschluss,
Avg time to close a lead,Durchschn. Zeit bis Lead-Abschluss,
Avg won deal value,Durchschn. gewonnener Deal-Wert,
Avg. deal value,Durchschn. Deal-Wert,
Avg. ongoing deal value,Durchschn. laufender Deal-Wert,
Avg. time to close a deal,Durchschn. Zeit bis Deal-Abschluss,
Avg. time to close a lead,Durchschn. Zeit bis Lead-Abschluss,
Avg. won deal value,Durchschn. gewonnener Deal-Wert,
Axis chart,Achsendiagramm,
BCC,BCC,
Back,Zurueck,
Background Sync Frequency,Hintergrund-Sync-Frequenz,
Backlog,Rueckstand,
Board View,Board-Ansicht,
Brand logo,Markenlogo,
Browse,Durchsuchen,
CC,CC,
CRM Deal Status,CRM-Deal-Status,
CRM Dropdown Item,CRM-Dropdown-Element,
CRM Exotel Settings,CRM-Exotel-Einstellungen,
CRM Fields Layout,CRM-Feldlayout,
CRM Form Script,CRM-Formularskript,
CRM Global Settings,CRM-Globale Einstellungen,
CRM Industry,CRM-Branche,
CRM Lead Source,CRM-Lead-Quelle,
CRM Lead Status,CRM-Lead-Status,
CRM Lost Reason,CRM-Verlustgrund,
CRM Notification,CRM-Benachrichtigung,
CRM Portal Page,CRM-Portalseite,
CRM Product,CRM-Produkt,
CRM Products,CRM-Produkte,
CRM Rolling Response Time,CRM-Rollierendes Antwortzeit,
CRM Service Day,CRM-Servicetag,
CRM Service Level Agreement,CRM-Service-Level-Vereinbarung,
CRM Service Level Priority,CRM-Service-Level-Prioritaet,
CRM Status Change Log,CRM-Statusaenderungsprotokoll,
CRM Telephony Agent,CRM-Telefonie-Agent,
CRM Telephony Phone,CRM-Telefonie-Telefon,
CRM Twilio Settings,CRM-Twilio-Einstellungen,
CRM View Settings,CRM-Ansichtseinstellungen,
"CRM currency for all monetary values. Once set, cannot be edited.","CRM-Waehrung fuer alle Geldbetraege. Einmal festgelegt, nicht mehr aenderbar.",
Calendar,Kalender,
Call Logs,Anrufprotokolle,
Call duration in seconds,Anrufdauer in Sekunden,
Call log,Anrufprotokoll,
Caller,Anrufer,
Calls,Anrufe,
Can't retry sync for this without source!,Synchronisierung kann ohne Quelle nicht erneut versucht werden!,
Cancel,Abbrechen,
Canceled,Abgebrochen,
Cannot change role of user with Admin access,Die Rolle eines Benutzers mit Administratorzugriff kann nicht geaendert werden,
Cannot enable rule without adding users in it,Regel kann nicht ohne Benutzer aktiviert werden,
Capturing leads,Leads erfassen,
Change deal status,Deal-Status aendern,
Change image,Bild aendern,
Change status,Status aendern,
Choose how {0} are assigned among salespeople.,"Waehlen Sie, wie {0} unter den Vertriebsmitarbeitern zugewiesen werden.",
Choose the days of the week when this rule should be active.,"Waehlen Sie die Wochentage, an denen diese Regel aktiv sein soll.",
Choose the email service provider you want to configure.,"Waehlen Sie den E-Mail-Dienstanbieter, den Sie konfigurieren moechten.",
Choose which {0} are affected by this un-assignment rule.,"Waehlen Sie, welche {0} von dieser Aufhebungsregel betroffen sind.",
Clear,Zuruecksetzen,
Close,Schliessen,
Closed,Geschlossen,
Closed Date,Abschlussdatum,
Columns,Spalten,
Comments,Kommentare,
Common reasons for losing deals,Haeufige Gruende fuer verlorene Deals,
Company in ERPNext Site,Firma in ERPNext-Website,
Completed,Abgeschlossen,
Compose,Verfassen,
Conditions for this rule were created from,Die Bedingungen fuer diese Regel wurden erstellt von,
Configure actions that appear on the home dropdown,"Aktionen konfigurieren, die im Start-Dropdown erscheinen",
Configure forecasting feature to help predict sales performance and growth,"Prognosefunktion konfigurieren, um Vertriebsleistung und Wachstum vorherzusagen",
Configure telephony settings for your CRM,Telefonie-Einstellungen fuer Ihr CRM konfigurieren,
Configure the currency and exchange rate provider for your CRM,Waehrung und Wechselkursanbieter fuer Ihr CRM konfigurieren,
Configure the exchange rate provider for your CRM,Wechselkursanbieter fuer Ihr CRM konfigurieren,
"Configure your brand name, logo, and favicon","Markenname, Logo und Favicon konfigurieren",
Confirm,Bestaetigen,
Confirm Delete,Loeschen bestaetigen,
Confirm Remove,Entfernen bestaetigen,
Confirm overwrite,Ueberschreiben bestaetigen,
Connect your email,E-Mail verbinden,
Contact Support,Support kontaktieren,
Contact image updated,Kontaktbild aktualisiert,
Contact updated,Kontakt aktualisiert,
Contacts,Kontakte,
Content is required,Inhalt ist erforderlich,
Convert Lead to Deal,Interessent in Deal umwandeln,
Convert lead to deal,Lead in Deal umwandeln,
Convert to Deal,In Deal umwandeln,
Convert to deal,In Deal umwandeln,
Converted,Konvertiert,
Count,Anzahl,
Create,Erstellen,
Create New,Neu erstellen,
Create View,Ansicht erstellen,
Create an event,Termin erstellen,
Create event,Termin erstellen,
Create your first note,Erstellen Sie Ihre erste Notiz,
Created,Erstellt,
Created On,Erstellt am,
Creation,Erstellt am,
Currency,Waehrung,
Currency & Exchange rate provider,Waehrung & Wechselkursanbieter,
Currency set as {0} successfully,Waehrung erfolgreich auf {0} gesetzt,
Current pipeline distribution,Aktuelle Pipeline-Verteilung,
Custom Range,Benutzerdefinierter Bereich,
Custom actions,Benutzerdefinierte Aktionen,
Custom list actions,Benutzerdefinierte Listenaktionen,
Custom statuses,Benutzerdefinierte Status,
"Daily performance of leads, deals, and wins","Taegliche Performance von Leads, Deals und Wins",
Dashboard,Dashboard,
Data,Daten,
Date & Time,Datum & Uhrzeit,
Daten,Daten,
Day,Tag,
Deal,Deal,
Deal Value,Deal-Wert,
Deal generation channel analysis,Deal-Generierungskanal-Analyse,
Deal owner,Deal-Eigentuemer,
Deal value,Deal-Wert,
Deals,Deals,
Deals by ongoing & won stage,Deals nach laufender & gewonnener Phase,
Deals by salesperson,Deals nach Vertriebsmitarbeiter,
Deals by source,Deals nach Quelle,
Deals by stage,Deals nach Phasen,
Deals by territory,Deals nach Gebiet,
Declined,Abgelehnt,
Default calling medium for logged in user,Standard-Anrufmedium fuer angemeldeten Benutzer,
Default calling medium set successfully to {0},Standard-Anrufmedium erfolgreich auf {0} gesetzt,
Default calling medium updated successfully,Standard-Anrufmedium erfolgreich aktualisiert,
Default medium,Standardmedium,
"Default statuses, custom fields and layouts restored successfully.","Standardstatus, benutzerdefinierte Felder und Layouts erfolgreich wiederhergestellt.",
Delete,Loeschen,
Delete & Restore,Loeschen & Wiederherstellen,
Delete event,Termin loeschen,
Delete invitation,Einladung loeschen,
Deleted successfully,Erfolgreich geloescht,
Descending,Absteigend,
Description,Beschreibung,
Description is required,Beschreibung ist erforderlich,
Details,Details,
Do Not Contact,Nicht kontaktieren,
Document,Dokument,
Document not found,Dokument nicht gefunden,
Done,Fertig,
Download,Herunterladen,
Draft saved,Entwurf gespeichert,
Drag and drop files here,Dateien hierher ziehen,
Due Date,Faelligkeitsdatum,
Duplicate Assignment Rule,Zuweisungsregel duplizieren,
Duplicate an event,Termin duplizieren,
Duplicate event,Termin duplizieren,
Duration,Dauer,
ERPNext Site API's,ERPNext-Website-APIs,
ERPNext Site URL,ERPNext-Website-URL,
ERPNext is not installed in the current site,ERPNext ist auf der aktuellen Seite nicht installiert,
Edit,Bearbeiten,
Edit Grid Row Fields Layout,Gitterzeilen-Feldlayout bearbeiten,
Edit Quick Entry Layout,Schnelleingabe-Layout bearbeiten,
Edit Task,Aufgabe bearbeiten,
Edit View,Ansicht bearbeiten,
Edit an event,Termin bearbeiten,
Edit call log,Anrufprotokoll bearbeiten,
Edit event,Termin bearbeiten,
Edit fields layout,Feldlayout bearbeiten,
Edit grid fields,Gitterfelder bearbeiten,
Edit note,Notiz bearbeiten,
Edit row,Zeile bearbeiten,
Edit task,Aufgabe bearbeiten,
Editing Row {0},Zeile {0} bearbeiten,
Editing event,Termin bearbeiten,
Email,E-Mail,
Email from Lead,E-Mail von Lead,
Emails,E-Mails,
Empty - Choose a field to filter by,Leer - Feld zum Filtern auswaehlen,
Empty - Choose a field to sort by,Leer - Feld zum Sortieren auswaehlen,
Enabled,Aktiviert,
End time should be after start time,Endzeit muss nach der Startzeit liegen,
Enter,Eingeben,
Enter Access Token,Zugriffstoken eingeben,
Enter Source Name,Quellname eingeben,
Enter access key,Zugriffsschluessel eingeben,
Enter brand name,Markenname eingeben,
Enter your Facebook Access Token,Geben Sie Ihren Facebook-Zugriffstoken ein,
Error,Fehler,
Error creating Lead Sync Source,Fehler beim Erstellen der Lead-Sync-Quelle,
Error occurred,Fehler aufgetreten,
Error syncing lead,Fehler beim Synchronisieren des Leads,
Error syncing leads,Fehler beim Synchronisieren der Leads,
Error updating Lead Sync Source,Fehler beim Aktualisieren der Lead-Sync-Quelle,
Error updating field,Fehler beim Aktualisieren des Feldes,
"Error while creating customer in ERPNext, check error log for more details","Fehler beim Erstellen des Kunden in ERPNext, pruefen Sie das Fehlerprotokoll fuer weitere Details",
"Error while creating prospect in ERPNext, check error log for more details","Fehler beim Erstellen des Interessenten in ERPNext, pruefen Sie das Fehlerprotokoll fuer weitere Details",
"Error while fetching customer in ERPNext, check error log for more details","Fehler beim Abrufen des Kunden in ERPNext, pruefen Sie das Fehlerprotokoll fuer weitere Details",
Event ID is required,Termin-ID ist erforderlich,
Event details,Termindetails,
Event title,Terminname,
Events,Termine,
Every 10 Minutes,Alle 10 Minuten,
Every 15 Minutes,Alle 15 Minuten,
Every 5 Minutes,Alle 5 Minuten,
Exchange Rate Provider,Wechselkursanbieter,
Exchange rate provider,Wechselkursanbieter,
Exotel Exception,Exotel-Ausnahme,
Expected Closure Date,Erwartetes Abschlussdatum,
Expected Closure Date is required.,Erwartetes Abschlussdatum ist erforderlich.,
Expected Deal Value,Erwarteter Deal-Wert,
Expected Deal Value is required.,Erwarteter Deal-Wert ist erforderlich.,
FCRM Note,FCRM-Notiz,
FCRM Settings,FCRM-Einstellungen,
Facebook Form ID,Facebook-Formular-ID,
Facebook Lead Form,Facebook-Lead-Formular,
Facebook Lead Form Question,Facebook-Lead-Formular-Frage,
Facebook Lead ID,Facebook-Lead-ID,
Facebook Page,Facebook-Seite,
Failed,Fehlgeschlagen,
Failed Lead Sync Log,Fehlgeschlagenes Lead-Sync-Protokoll,
Failed to add users,Benutzer konnten nicht hinzugefuegt werden,
"Failed to create email account, Invalid credentials","E-Mail-Konto konnte nicht erstellt werden, ungueltige Anmeldedaten",
Failed to create template,Vorlage konnte nicht erstellt werden,
Failed to delete Lead Sync Source,Lead-Sync-Quelle konnte nicht geloescht werden,
Failed to delete template,Vorlage konnte nicht geloescht werden,
Failed to fetch exchange rate from {0} to {1} on {2}. Please check your internet connection or try again later.,Wechselkurs von {0} nach {1} am {2} konnte nicht abgerufen werden. Bitte pruefen Sie Ihre Internetverbindung oder versuchen Sie es spaeter erneut.,
Failed to load form controller: {0},Formular-Controller konnte nicht geladen werden: {0},
Failed to rename template,Vorlage konnte nicht umbenannt werden,
Failed to send WhatsApp template,WhatsApp-Vorlage konnte nicht gesendet werden,
"Failed to update email account, Invalid credentials","E-Mail-Konto konnte nicht aktualisiert werden, ungueltige Anmeldedaten",
Failed to update password,Passwort konnte nicht aktualisiert werden,
Failed to update profile,Profil konnte nicht aktualisiert werden,
Failed to update source,Quelle konnte nicht aktualisiert werden,
Failed to update template,Vorlage konnte nicht aktualisiert werden,
Failure Logs,Fehlerprotokolle,
Fehler beim Status-Update,Fehler beim Status-Update,
Fields Order,Feldreihenfolge,
File,Datei,
"File ""{0}"" was skipped because only {1} uploads are allowed","Datei ""{0}"" wurde uebersprungen, da nur {1} Uploads erlaubt sind",
"File ""{0}"" was skipped because only {1} uploads are allowed for DocType ""{2}""","Datei ""{0}"" wurde uebersprungen, da nur {1} Uploads fuer DocType ""{2}"" erlaubt sind",
Files,Dateien,
Filter,Filter,
Filters,Filter,
First Name,Vorname,
First Responded On,Erste Antwort am,
First Response Due,Erste Antwort faellig,
First Response TIme,Erste Antwortzeit,
Forecasted,Prognostiziert,
Forecasted revenue,Voraussichtliche Einnahmen,
Forecasting disabled successfully,Prognose erfolgreich deaktiviert,
Forecasting enabled successfully,Prognose erfolgreich aktiviert,
Form Name,Formularname,
Form Script updated successfully,Formularskript erfolgreich aktualisiert,
Forward,Weiterleiten,
Frappe CRM mobile,Frappe CRM Mobil,
From (number),Von (Nummer),
From Type,Von Typ,
Funnel conversion,Umstellung des Trichters,
Gender,Geschlecht,
Geographic distribution of deals and revenue,Geografische Verteilung von Deals und Umsatz,
GitHub Repository,GitHub-Repository,
Go to invite page,Zur Einladungsseite gehen,
Go to website,Webseite oeffnen,
Group By,Gruppieren nach,
Hang up,Auflegen,
Help,Hilfe,
Helpdesk CRM Settings,Helpdesk-CRM-Einstellungen,
Helpdesk Site API's,Helpdesk-Website-APIs,
Helpdesk Site URL,Helpdesk-Website-URL,
Helpdesk is not installed in the current site,Helpdesk ist auf der aktuellen Seite nicht installiert,
Helpdesk is not integrated with the CRM,Helpdesk ist nicht mit dem CRM integriert,
Helpdesk settings,Helpdesk-Einstellungen,
Helpdesk settings updated,Helpdesk-Einstellungen aktualisiert,
Hide,Ausblenden,
High,Hoch,
Home actions,Startseiten-Aktionen,
Hourly,Stuendlich,
"I understand, add conditions","Verstanden, Bedingungen hinzufuegen",
"If enabled, all outgoing emails will be sent from this account. Note: Only one account can be default outgoing.","Wenn aktiviert, werden alle ausgehenden E-Mails von diesem Konto gesendet. Hinweis: Nur ein Konto kann als Standard fuer ausgehende E-Mails festgelegt werden.",
"If enabled, outgoing emails can be sent from this account.","Wenn aktiviert, koennen ausgehende E-Mails von diesem Konto gesendet werden.",
"If enabled, records can be created from the incoming emails on this account.","Wenn aktiviert, koennen Datensaetze aus eingehenden E-Mails in diesem Konto erstellt werden.",
In Progress,In Bearbeitung,
Incoming,Eingehend,
Incoming call...,Eingehender Anruf...,
Industry,Branche,
Info,Info,
Initiated,Eingeleitet,
Insert Email Template,E-Mail-Vorlage einfuegen,
Insert Emoji,Emoji einfuegen,
Integration,Integration,
Interested,Interessiert,
Invalid access token provided for Facebook.,Ungueltiges Zugriffstoken fuer Facebook angegeben.,
Invalid chart name,Ungueltiger Diagrammname,
Invalid email ID,Ungueltige E-Mail-Adresse,
"Invalid fields, check if all are filled in and values are correct.","Ungueltige Felder, pruefen Sie ob alle ausgefuellt und die Werte korrekt sind.",
Invalid page or not permitted to access,Ungueltige Seite oder kein Zugriff erlaubt,
Invalid start or end time,Ungueltige Start- oder Endzeit,
Invalid website URL,Ungueltige Website-URL,
Invite New User,Neuen Benutzer einladen,
Invite agent,Agent einladen,
Invite as,Einladen als,
Invite by email,Per E-Mail einladen,
Invite users,Benutzer einladen,
Invite users to access CRM. Specify their roles to control access and permissions,"Benutzer einladen, um auf das CRM zuzugreifen. Rollen zuweisen, um Zugriff und Berechtigungen zu steuern",
Invite your team,Ihr Team einladen,
Is Group,Ist Gruppe,
Is Helpdesk installed on a different site?,Ist Helpdesk auf einer anderen Seite installiert?,
"It will make deal's ""Expected Closure Date"" & ""Expected Deal Value"" mandatory to get accurate forecasting insights","Die Felder ""Erwartetes Abschlussdatum"" und ""Erwarteter Deal-Wert"" des Deals werden Pflichtfelder fuer genaue Prognosen",
Job Title,Stellenbezeichnung,
Kanban,Kanban,
Kanban View,Kanban-Ansicht,
Kein Interesse,Kein Interesse,
Kontaktiert,Kontaktiert,
Kontaktiert aber nicht erreicht,Kontaktiert aber nicht erreicht,
Last,Letzter,
Last 30 Days,Letzte 30 Tage,
Last 60 Days,Letzte 60 Tage,
Last 7 Days,Letzte 7 Tage,
Last 90 Days,Letzte 90 Tage,
Last Modified,Zuletzt bearbeitet,
Last Name,Nachname,
Last Responded On,Letzte Antwort am,
Last Response Time,Letzte Antwortzeit,
Last Status Change Log,Letztes Statusaenderungsprotokoll,
Last Synced At,Zuletzt synchronisiert am,
Last user assigned by this rule,Letzter durch diese Regel zugewiesener Benutzer,
Lead Data,Lead-Daten,
Lead Form,Lead-Formular,
Lead Owner,Eigentuemer des Leads,
Lead Sources,Lead-Quellen,
Lead Statuses,Lead-Status,
Lead Sync Source,Lead-Sync-Quelle,
Lead Sync Source created successfully,Lead-Sync-Quelle erfolgreich erstellt,
Lead Sync Source deleted successfully,Lead-Sync-Quelle erfolgreich geloescht,
Lead erstellen,Lead erstellen,
Lead generation channel analysis,Lead-Generierungskanal-Analyse,
Lead sources,Lead-Quellen,
Lead sync initiated.,Lead-Synchronisierung gestartet.,
Lead to deal conversion pipeline,Pipeline fuer die Umwandlung von Leads in Geschaefte,
Leads,Interessenten,
Leads by source,Leads nach Quelle,
Learn about conditions,Ueber Bedingungen erfahren,
List,Liste,
List View,Listenansicht,
Load More,Mehr laden,
Loading...,Laden...,
Log ID,Protokoll-ID,
Log a call,Anruf protokollieren,
Login with different account,Mit anderem Konto anmelden,
Lost,Verloren,
Lost Notes,Verlustnotizen,
Lost deal reasons,Gruende fuer verlorene Deals,
Lost notes,Verlustnotizen,
"Lost notes are required when lost reason is ""Other""","Verlustnotizen sind erforderlich, wenn der Verlustgrund ""Sonstiges"" ist",
Lost reason,Verlustgrund,
Lost reason is required,Verlustgrund ist erforderlich,
Low,Niedrig,
Make a call,Anrufen,
Make {0} as default calling medium,{0} als Standard-Anrufmedium festlegen,
"Makes ""Expected Closure Date"" and ""Expected Deal Value"" mandatory for deal value forecasting","Macht ""Erwartetes Abschlussdatum"" und ""Erwarteter Deal-Wert"" fuer die Deal-Wert-Prognose zur Pflicht",
"Manage CRM users by adding or inviting them, and assign roles to control their access and permissions","CRM-Benutzer verwalten durch Hinzufuegen oder Einladen, und Rollen zuweisen, um Zugriff und Berechtigungen zu steuern",
Manage your email accounts to send and receive emails directly from CRM. You can add multiple accounts and set one as default for incoming and outgoing emails.,"Verwalten Sie Ihre E-Mail-Konten, um E-Mails direkt aus dem CRM zu senden und zu empfangen. Sie koennen mehrere Konten hinzufuegen und eines als Standard fuer ein- und ausgehende E-Mails festlegen.",
Manager,Manager,
Mandatory field error: {0},Pflichtfeldfehler: {0},
Mandatory field(s) {0} must be mapped,Pflichtfeld(er) {0} muessen zugeordnet werden,
Mandatory fields required: {0},Pflichtfelder erforderlich: {0},
Mapped to CRM Field,Zugeordnet zu CRM-Feld,
Mark all as read,Alle als gelesen markieren,
Mark as read,Als gelesen markieren,
Medium,Mittel,
Meine,Meine,
Meine Leads,Meine Leads,
Minimize,Minimieren,
Missed Call,Verpasster Anruf,
Mobile No,Mobilnummer,
Mobile No should be a number,Mobilnummer muss eine Zahl sein,
Mobile app installation,Mobile App Installation,
Mobile no,Mobilnr.,
Modified,Geaendert,
Month,Monat,
More Options,Weitere Optionen,
My Open Deals,Meine offenen Deals,
My views,Meine Ansichten,
Name,Name,
Name is required,Name ist erforderlich,
Negotiation,Verhandlung,
Nested conditions,Verschachtelte Bedingungen,
New,Neu,
New Assignment Rule,Neue Zuweisungsregel,
New Assignment Rule Name,Name der neuen Zuweisungsregel,
New Lead Sync Source,Neue Lead-Sync-Quelle,
New WhatsApp message,Neue WhatsApp-Nachricht,
New comment,Neuer Kommentar,
New email,Neue E-Mail,
New event,Neuer Termin,
New message,Neue Nachricht,
New note,Neue Notiz,
New organization will be created based on the data in details section,Neue Organisation wird basierend auf den Daten im Detailbereich erstellt,
New task,Neue Aufgabe,
New template,Neue Vorlage,
Next,Weiter,
Next Step,Naechster Schritt,
Nicht kontaktiert,Nicht kontaktiert,
No,Nein,
No Events Scheduled,Keine Termine geplant,
No Title,Kein Titel,
No WhatsApp messages found,Keine WhatsApp-Nachrichten gefunden,
No WhatsApp messages yet. Start a conversation now!,Noch keine WhatsApp-Nachrichten. Starten Sie jetzt eine Unterhaltung!,
No activities,Keine Aktivitaeten,
No activities found,Keine Aktivitaeten gefunden,
No attachments,Keine Anhaenge,
No attachments found,Keine Anhaenge gefunden,
No call history,Keine Anrufhistorie,
No comments,Keine Kommentare,
No comments found,Keine Kommentare gefunden,
No comments yet. Be the first to add one.,Noch keine Kommentare. Fuegen Sie den ersten hinzu.,
No contacts added,Keine Kontakte hinzugefuegt,
No data,Keine Daten,
No data fields added yet,Noch keine Datenfelder hinzugefuegt,
No data fields have been added yet.,Es wurden noch keine Datenfelder hinzugefuegt.,
No details added,Keine Details hinzugefuegt,
No email set,Keine E-Mail-Adresse hinterlegt,
No email templates found,Keine E-Mail-Vorlagen gefunden,
No emails,Keine E-Mails,
No emails found,Keine E-Mails gefunden,
No emails found in your inbox. New messages will appear here soon.,Keine E-Mails im Posteingang. Neue Nachrichten erscheinen hier.,
No failure logs found,Keine Fehlerprotokolle gefunden,
No files have been attached yet. Upload files to see them here.,Noch keine Dateien angehaengt. Laden Sie Dateien hoch.,
No items in the list,Keine Eintraege in der Liste,
No label,Kein Label,
No lead sources found,Keine Lead-Quellen gefunden,
No mobile number set,Keine Mobilnummer hinterlegt,
No notes,Keine Notizen,
No notes found,Keine Notizen gefunden,
No phone number set,Keine Telefonnummer hinterlegt,
No primary contact set,Kein Hauptkontakt festgelegt,
No recent calls to display. Log a call or call someone now!,Keine aktuellen Anrufe. Protokollieren Sie einen Anruf oder rufen Sie jemanden an!,
No results found,Keine Ergebnisse gefunden,
No tasks,Keine Aufgaben,
No tasks found,Keine Aufgaben gefunden,
No templates found,Keine Vorlagen gefunden,
No users found,Keine Benutzer gefunden,
No website found,Keine Webseite gefunden,
No website set,Keine Webseite hinterlegt,
No {0} Available,Keine {0} vorhanden,
Normal,Normal,
Not Saved,Nicht gespeichert,
Not Synced,Nicht synchronisiert,
Not allowed to add contact to Deal,Kontakt darf dem Deal nicht hinzugefuegt werden,
Not allowed to convert Lead to Deal,Lead darf nicht in Deal umgewandelt werden,
Not allowed to remove contact from Deal,Kontakt darf nicht vom Deal entfernt werden,
Not allowed to set primary contact for Deal,Hauptkontakt fuer Deal darf nicht festgelegt werden,
Not implemented yet!,Noch nicht implementiert!,
Notes,Notizen,
Notes View,Notizenansicht,
Nothing here for now. Add a note to keep track of things.,Noch nichts hier. Fuegen Sie eine Notiz hinzu.,
Nothing to do at the moment. Start organizing by adding one here.,Momentan nichts zu tun. Fuegen Sie hier eine Aufgabe hinzu.,
Notification Text,Benachrichtigungstext,
Notification Type Doc,Benachrichtigungstyp-Dokument,
Notification Type Doctype,Benachrichtigungstyp-Doctype,
Notifications,Benachrichtigungen,
Number of deals,Anzahl der Deals,
Number of deals and total value per salesperson,Anzahl der Deals und Gesamtwert pro Vertriebsmitarbeiter,
OK,OK,
Old Condition,Alte Bedingung,
Ongoing deals,Laufende Angebote,
Only image files are allowed,Nur Bilddateien sind erlaubt,
Open,Offen,
Open Deal,Deal oeffnen,
Open Lead,Lead oeffnen,
Open nested conditions,Verschachtelte Bedingungen oeffnen,
Optional,Optional,
Or create leads manually,Oder Leads manuell erstellen,
Organization,Firma,
Organization Name,Organisationsname,
Organizer,Organisator,
Other features,Weitere Funktionen,
Outgoing,Ausgehend,
Overdue,Ueberfaellig,
